Flow ID,Timestamp,Label
192.168.10.8-205.174.165.73-53966-444-6,6/7/2017 2:19,Infiltration
192.168.10.8-205.174.165.73-1260-444-6,6/7/2017 3:44,Infiltration
192.168.10.8-205.174.165.73-1260-444-6,6/7/2017 3:45,Infiltration
192.168.10.12-52.6.13.28-42544-8080-6,7/7/2017 9:34,Bot
192.168.10.12-52.6.13.28-42544-8080-6,7/7/2017 9:35,Bot
192.168.10.9-205.174.165.73-1841-8080-6,7/7/2017 10:04,Bot
192.168.10.9-205.174.165.73-1841-8080-6,7/7/2017 10:04,Bot
172.16.0.1-192.168.10.50-54599-49154-6,7/7/2017 3:23,PortScan
172.16.0.1-192.168.10.50-54599-5500-6,7/7/2017 3:23,PortScan
172.16.0.1-192.168.10.50-54599-49155-6,7/7/2017 3:23,PortScan
172.16.0.1-192.168.10.50-54599-49156-6,7/7/2017 3:23,PortScan
172.16.0.1-192.168.10.50-54599-49157-6,7/7/2017 3:23,PortScan
172.16.0.1-192.168.10.50-54599-9999-6,7/7/2017 3:23,PortScan
172.16.0.1-192.168.10.50-54599-49158-6,7/7/2017 3:23,PortScan
172.16.0.1-192.168.10.50-64682-80-6,7/7/2017 4:14,DDoS
172.16.0.1-192.168.10.50-64682-80-6,7/7/2017 4:14,DDoS
172.16.0.1-192.168.10.50-64683-80-6,7/7/2017 4:14,DDoS
172.16.0.1-192.168.10.50-64683-80-6,7/7/2017 4:14,DDoS
172.16.0.1-192.168.10.50-64684-80-6,7/7/2017 4:14,DDoS
172.16.0.1-192.168.10.50-64684-80-6,7/7/2017 4:14,DDoS
172.16.0.1-192.168.10.50-52120-21-6,4/7/2017 9:19,FTP-Patator
172.16.0.1-192.168.10.50-52124-21-6,4/7/2017 9:19,FTP-Patator
172.16.0.1-192.168.10.50-52114-21-6,4/7/2017 9:19,FTP-Patator
172.16.0.1-192.168.10.50-52126-21-6,4/7/2017 9:19,FTP-Patator
172.16.0.1-192.168.10.50-52118-21-6,4/7/2017 9:19,FTP-Patator
172.16.0.1-192.168.10.50-52130-21-6,4/7/2017 9:19,FTP-Patator
172.16.0.1-192.168.10.50-52108-21-6,4/7/2017 9:17,FTP-Patator
172.16.0.1-192.168.10.50-52358-22-6,4/7/2017 3:11,SSH-Patator
172.16.0.1-192.168.10.50-52384-22-6,4/7/2017 3:11,SSH-Patator
172.16.0.1-192.168.10.50-52382-22-6,4/7/2017 3:11,SSH-Patator
172.16.0.1-192.168.10.50-52380-22-6,4/7/2017 3:11,SSH-Patator
172.16.0.1-192.168.10.50-52386-22-6,4/7/2017 3:11,SSH-Patator
172.16.0.1-192.168.10.50-52364-22-6,4/7/2017 3:11,SSH-Patator
172.16.0.1-192.168.10.50-52366-22-6,4/7/2017 3:11,SSH-Patator
172.16.0.1-192.168.10.50-52378-22-6,4/7/2017 3:11,SSH-Patator
172.16.0.1-192.168.10.50-52360-22-6,4/7/2017 3:11,SSH-Patator
172.16.0.1-192.168.10.50-43116-80-6,7/7/2017 4:16,DDoS
172.16.0.1-192.168.10.50-43117-80-6,7/7/2017 4:16,DDoS
172.16.0.1-192.168.10.50-43117-80-6,7/7/2017 4:16,DDoS
172.16.0.1-192.168.10.50-43118-80-6,7/7/2017 4:16,DDoS
172.16.0.1-192.168.10.50-43118-80-6,7/7/2017 4:16,DDoS
172.16.0.1-192.168.10.50-43119-80-6,7/7/2017 4:16,DDoS
172.16.0.1-192.168.10.50-43119-80-6,7/7/2017 4:16,DDoS
172.16.0.1-192.168.10.50-51920-80-6,6/7/2017 10:00,WebAttack_BruteForce
172.16.0.1-192.168.10.50-51958-80-6,6/7/2017 10:00,WebAttack_BruteForce
172.16.0.1-192.168.10.50-51978-80-6,6/7/2017 10:00,WebAttack_BruteForce
172.16.0.1-192.168.10.50-36182-80-6,6/7/2017 10:35,WebAttack_XSS
172.16.0.1-192.168.10.50-36184-80-6,6/7/2017 10:35,WebAttack_XSS
172.16.0.1-192.168.10.50-36190-80-6,6/7/2017 10:35,WebAttack_XSS
172.16.0.1-192.168.10.50-36196-80-6,6/7/2017 10:40,WebAttack_SqlInjection
172.16.0.1-192.168.10.50-36196-80-6,6/7/2017 10:40,WebAttack_SqlInjection
172.16.0.1-192.168.10.50-36198-80-6,6/7/2017 10:40,WebAttack_SqlInjection
172.16.0.1-192.168.10.50-36198-80-6,6/7/2017 10:40,WebAttack_SqlInjection